account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Cash;Vehicle maintenance;BGN;-30.00;-30.00;Expenses;DEBIT_CARD;Debit card;Смяна на гуми;2020-06-11 12:00:53;;;;0;false;;;5002;false
Cash;Vape;BGN;28.00;28.00;Income;CASH;Cash;;2020-06-11 10:00:49;;;;0;false;;;6011;true
Cash;Wellness, beauty;BGN;-5.00;-5.00;Expenses;CASH;Cash;Подстрижка;2020-06-11 10:00:44;;;;0;false;;;6001;false
Cash;Restaurant, fast-food;BGN;-6.50;-6.50;Expenses;CASH;Cash;Закуски;2020-06-11 09:30:56;;;;0;false;;;1001;false
Revolut;Vape;BGN;51.36;51.36;Income;DEBIT_CARD;Debit card;;2020-06-11 06:45:00;;;;0;false;;;6011;true
Cash;Services;BGN;-15.00;-15.00;Expenses;DEBIT_CARD;Debit card;Входни такси;2020-06-10 12:00:28;;;;0;false;;;3003;false
Revolut;Fuel;BGN;-12.52;-12.52;Expenses;DEBIT_CARD;Debit card;;2020-06-09 21:30:00;;;;0;false;;;5000;false
Revolut;Groceries;BGN;-32.95;-32.95;Expenses;DEBIT_CARD;Debit card;;2020-06-09 21:15:00;;;;0;false;;;1000;false
Revolut;Groceries;BGN;-11.06;-11.06;Expenses;DEBIT_CARD;Debit card;;2020-06-09 20:30:00;;;;0;false;;;1000;false
Raiffeisenbank;Electronics, accessories;BGN;-131.80;-131.80;Expenses;DEBIT_CARD;Debit card;Телевизор - Кредит;2020-06-09 10:00:00;;;;0;false;;;2006;false
Raiffeisenbank;GF;BGN;-50.80;-50.80;Expenses;DEBIT_CARD;Debit card;Телефон Елито;2020-06-09 10:00:00;;;;0;false;;;2007;true
Revolut;Phone, cell phone;BGN;-20.99;-20.99;Expenses;DEBIT_CARD;Debit card;Теленор;2020-06-08 21:41:12;;;;0;false;;;7001;false
Revolut;Groceries;BGN;-4.86;-4.86;Expenses;DEBIT_CARD;Debit card;;2020-06-08 21:36:26;;;;0;false;;;1000;false
Cash;GF;BGN;-5.00;-5.00;Expenses;CASH;Cash;;2020-06-08 21:30:34;;;;0;false;;;2007;true
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-06-08 21:30:22;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-06-08 21:30:22;;;;0;true;;;20001;false
Raiffeisenbank;Groceries;BGN;-16.03;-16.03;Expenses;DEBIT_CARD;Debit card;;2020-06-08 10:30:45;;;;0;false;;;1000;false
Revolut;Software, apps, games;BGN;-9.87;-9.87;Expenses;DEBIT_CARD;Debit card;Spotify;2020-06-07 13:30:38;;;;0;false;;;7003;false
Raiffeisenbank;Groceries;BGN;-22.10;-22.10;Expenses;DEBIT_CARD;Debit card;;2020-06-06 20:00:56;;;;0;false;;;1000;false
Revolut;Stationery, tools;BGN;-4.24;-4.24;Expenses;DEBIT_CARD;Debit card;;2020-06-06 12:30:48;;;;0;false;;;2008;false
Cash;Restaurant, fast-food;BGN;-5.00;-5.00;Expenses;DEBIT_CARD;Debit card;;2020-06-06 10:00:03;;;;0;false;;;1001;false
Revolut;Vape;BGN;-35.81;-35.81;Expenses;DEBIT_CARD;Debit card;Drop solo rda;2020-06-05 12:00:38;;;;0;false;;;6011;true
Cash;Rent;BGN;-400.00;-400.00;Expenses;CASH;Cash;;2020-06-04 12:00:00;;;;0;false;;;3000;false
Revolut;Groceries;BGN;-24.06;-24.06;Expenses;DEBIT_CARD;Debit card;;2020-06-04 11:00:41;;;;0;false;;;1000;false
Cash;Vape;BGN;-1.00;-1.00;Expenses;CASH;Cash;Спринцовки;2020-06-04 11:00:06;;;;0;false;;;6011;true
Cash;TRANSFER;BGN;400.00;400.00;Income;DEBIT_CARD;Debit card;;2020-06-04 10:38:48;;;;0;true;;;20001;false
Raiffeisenbank;TRANSFER;BGN;-400.00;-400.00;Expenses;DEBIT_CARD;Debit card;;2020-06-04 10:38:48;;;;0;true;;;20001;false
Revolut;Vape;BGN;-70.28;-70.28;Expenses;DEBIT_CARD;Debit card;;2020-06-04 10:00:21;;;;0;false;;;6011;true
Cash;GF;BGN;-10.00;-10.00;Expenses;CASH;Cash;;2020-06-04 08:53:58;;;;0;false;;;2007;true
Cash;GF;BGN;40.00;40.00;Income;CASH;Cash;;2020-06-04 01:10:35;;;;0;false;;;2007;true
Revolut;Restaurant, fast-food;BGN;-11.80;-11.80;Expenses;DEBIT_CARD;Debit card;;2020-06-03 22:00:21;;;;0;false;;;1001;false
Cash;Shopping;BGN;-3.00;-3.00;Expenses;CASH;Cash;Снимка;2020-06-03 21:00:26;;;;0;false;;;2010;false
Revolut;Groceries;BGN;-7.08;-7.08;Expenses;DEBIT_CARD;Debit card;;2020-06-03 11:00:52;;;;0;false;;;1000;false
